Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Bahrain,42,6.088,1.32886,1.03188,0.6612,0.47375,0.3194,0.23402,1.89601
Bolivia,43,5.822,0.65454,1.11734,0.57816,0.40498,0.40448,0.09029,2.6249
Indonesia,44,5.314,0.82827,1.08072,0.61483,0.45556,0.59813,0.11788,1.66098
Turkmenistan,45,5.658,0.95847,1.24769,0.63552,0.20458,0.277,0.2839,2.0436
Malaysia,46,6.005,1.12486,1.1224,0.7004,0.53087,0.43614,0.14825,1.74581
Latvia,47,5.56,1.11312,1.20302,0.71517,0.45644,0.2734,0.11486,1.69942
Romania,48,5.528,1.04982,1.14362,0.67583,0.44974,0.23226,0.09625,1.82654
Hungary,49,5.145,1.12094,1.19422,0.7393,0.44974,0.26373,0.14823,1.77699
Nicaragua,50,5.992,0.62524,1.14021,0.63212,0.43574,0.49508,0.08078,2.57932
Russia,51,5.856,1.13764,1.23617,0.66926,0.53206,0.20418,0.05148,1.84545
Vietnam,52,5.061,0.63216,1.17472,0.57554,0.41364,0.55069,0.07173,1.91749
Philippines,53,5.073,0.70532,1.22898,0.49347,0.45107,0.5518,0.12007,1.59021
Kazakhstan,54,5.919,1.12254,1.22388,0.65459,0.38368,0.2506,0.10454,1.79099
China,55,5.245,0.89012,1.02433,0.81658,0.25082,0.1045,0.07897,2.00136
Pakistan,56,5.03,0.59543,0.41411,0.40219,0.37542,0.28525,0.10895,3.09067
Nigeria,57,4.875,0.65435,1.22788,0.16339,0.37574,0.40576,0.26613,2.1519
Nepal,58,4.793,0.35997,0.92621,0.49397,0.25208,0.36062,0.19273,1.95588
Bangladesh,59,4.643,0.39753,0.63244,0.49476,0.53024,0.4089,0.19881,2.04775
India,60,4.404,0.64499,0.38174,0.51529,0.46466,0.38004,0.07566,2.06965
Myanmar,61,4.395,0.27108,0.70905,0.45956,0.41477,0.44027,0.11279,1.90478
Cambodia,62,3.907,0.46038,0.73498,0.50521,0.31483,0.42889,0.15945,1.28289
Ghana,63,4.633,0.57006,1.01526,0.38015,0.2568,0.31968,0.18291,1.87528
Ivory Coast,64,4.87,0.64478,1.09494,0.2143,0.38698,0.27745,0.15065,2.12419
Ethiopia,65,4.286,0.19073,1.07064,0.38126,0.20564,0.36698,0.12285,2.20652
Kenya,66,4.356,0.36471,1.08706,0.36933,0.23616,0.37182,0.15089,1.85765
Uganda,67,3.739,0.23501,1.14294,0.20586,0.11736,0.37192,0.18081,1.632
Tanzania,68,3.666,0.28526,1.15174,0.32443,0.09566,0.35815,0.22519,1.36305
Rwanda,69,3.515,0.22208,0.7737,0.36923,0.59201,0.55191,0.55191,0.67042
Burundi,70,2.905,0.0153,0.41587,0.22396,0.14195,0.11587,0.10854,1.83302
Central African Republic,71,3.476,0.0,0.0,0.01803,0.18922,0.20308,0.05565,2.39926
Afghanistan,72,3.36,0.31982,0.30285,0.30335,0.23414,0.09719,0.09327,2.17916
Togo,73,3.303,0.20817,0.53501,0.2152,0.12898,0.22661,0.0998,1.7992
Syria,74,3.069,0.6632,0.47489,0.40676,0.04987,0.45197,0.0444,1.02585
Benin,75,3.484,0.28665,0.35386,0.3191,0.26673,0.16388,0.08188,1.63328
