Country,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Region
Russia,55,5.716,0.03135,1.13764,1.23617,0.66926,0.53206,0.20418,0.05148,1.84545,Unknown
Hungary,56,5.693,0.06052,1.12094,1.19422,0.7393,0.44974,0.26373,0.14823,1.77699,Unknown
Latvia,57,5.592,0.0464,1.11312,1.20302,0.71517,0.45644,0.2734,0.11486,1.69942,Unknown
Serbia,58,5.551,0.04394,0.94692,1.20719,0.6588,0.33673,0.25951,0.12154,2.00616,Unknown
Kazakhstan,59,5.507,0.04273,1.12254,1.22388,0.65459,0.38368,0.2506,0.10454,1.79099,Unknown
Romania,60,5.5,0.05247,1.04982,1.14362,0.67583,0.44974,0.23226,0.09625,1.82654,Unknown
Cyprus,61,5.498,0.06363,1.24684,1.00781,0.80118,0.51479,0.27638,0.10886,1.52257,Unknown
Kosovo,62,5.488,0.05111,0.80139,1.08253,0.61023,0.25803,0.22539,0.07612,2.43526,Unknown
Vietnam,63,5.36,0.05141,0.63216,1.17472,0.57554,0.41364,0.55069,0.07173,1.91749,Unknown
Turkey,64,5.332,0.04348,1.06098,1.06746,0.64559,0.27943,0.25946,0.10259,1.85044,Unknown
Kyrgyzstan,65,5.286,0.04835,0.47428,1.15115,0.58855,0.24923,0.32624,0.22362,2.27615,Unknown
Nigeria,66,5.268,0.04722,0.65435,1.22788,0.16339,0.37574,0.40576,0.26613,2.1519,Unknown
Bhutan,67,5.253,0.05783,0.77042,1.10395,0.57407,0.37545,0.3274,0.13994,1.94941,Unknown
Azerbaijan,68,5.212,0.05184,1.02389,1.08569,0.62545,0.18052,0.15554,0.10709,2.01906,Unknown
Pakistan,69,5.194,0.0478,0.59543,0.41411,0.40219,0.37542,0.28525,0.10895,3.09067,Unknown
Jordan,70,5.192,0.06064,0.90198,1.14614,0.64727,0.33475,0.23726,0.0839,1.83565,Unknown
Belarus,71,5.813,0.03782,1.03192,1.30676,0.73045,0.34119,0.15884,0.17402,2.00513,Unknown
Morocco,72,5.013,0.05045,0.73479,0.93183,0.60954,0.35674,0.21342,0.09179,2.05766,Unknown
Macedonia,73,4.989,0.05671,0.91832,1.06053,0.63721,0.24479,0.35416,0.10826,1.58513,Unknown
Indonesia,74,5.399,0.04149,0.82827,1.08072,0.61483,0.45556,0.59813,0.11788,1.66098,Unknown
Laos,75,4.876,0.06739,0.59676,0.81776,0.45557,0.35379,0.38074,0.14234,1.8863,Unknown
South Africa,76,4.642,0.04906,0.92049,1.18468,0.27373,0.37107,0.22019,0.07928,1.58614,Unknown
China,77,5.14,0.02424,0.89012,1.02433,0.81658,0.25082,0.1045,0.07897,2.00136,Unknown
Algeria,78,5.605,0.05444,1.05266,1.20138,0.61503,0.27334,0.17233,0.0791,2.17406,Unknown
Albania,79,4.959,0.05015,0.87867,0.80434,0.81325,0.35733,0.16574,0.06413,1.84412,Unknown
Lebanon,80,4.839,0.06614,1.02564,0.98124,0.5314,0.17517,0.21878,0.14723,1.74451,Unknown
Egypt,81,4.194,0.05195,0.8527,0.99355,0.57032,0.27199,0.29012,0.11375,1.11786,Unknown
India,82,4.565,0.02043,0.64499,0.38174,0.51529,0.46466,0.38004,0.07566,2.06965,Unknown
Senegal,83,4.681,0.0581,0.36498,1.10243,0.43048,0.23027,0.32552,0.16228,2.09234,Unknown
Cameroon,84,4.252,0.07564,0.49049,1.12193,0.22152,0.24924,0.20854,0.14862,1.78567,Unknown
Ghana,85,4.633,0.06509,0.57006,1.01526,0.38015,0.2568,0.31968,0.18291,1.87528,Unknown
Zimbabwe,86,4.61,0.04204,0.271,1.17265,0.17801,0.12388,0.14534,0.10447,2.69035,Unknown
Iraq,87,4.677,0.07556,1.07745,0.9038,0.53099,0.14685,0.1618,0.04261,1.87564,Unknown
Philippines,88,5.073,0.04756,0.70532,1.22898,0.49347,0.45107,0.5518,0.12007,1.59021,Unknown
Ethiopia,89,4.512,0.05481,0.19073,1.07064,0.38126,0.20564,0.36698,0.12285,2.20652,Unknown
Bangladesh,90,4.694,0.05397,0.39753,0.63244,0.49476,0.53024,0.4089,0.19881,2.04775,Unknown
Uganda,91,3.931,0.07521,0.23501,1.14294,0.20586,0.11736,0.37192,0.18081,1.632,Unknown
Zambia,92,4.291,0.07381,0.47038,1.07726,0.28564,0.22252,0.31617,0.16869,1.74281,Unknown
Nepal,93,4.514,0.05961,0.35997,0.92621,0.49397,0.25208,0.36062,0.19273,1.95588,Unknown
Kenya,94,4.419,0.05889,0.36471,1.08706,0.36933,0.23616,0.37182,0.15089,1.85765,Unknown
Mozambique,95,4.971,0.07068,0.08308,1.02626,0.24326,0.09447,0.25962,0.1048,3.14513,Unknown
Myanmar,96,4.307,0.06408,0.27108,0.70905,0.45956,0.41477,0.44027,0.11279,1.90478,Unknown
Cambodia,97,3.907,0.06167,0.46038,0.73498,0.50521,0.31483,0.42889,0.15945,1.28289,Unknown
Tanzania,98,3.781,0.07192,0.28526,1.15174,0.32443,0.09566,0.35815,0.22519,1.36305,Unknown
Iran,99,4.686,0.0442,1.09249,0.90347,0.6748,0.198,0.17877,0.07845,1.58042,Unknown
Niger,100,3.845,0.0688,0.0694,1.05766,0.17417,0.1506,0.2853,0.13764,1.94601,Unknown
Yemen,101,4.077,0.07566,0.54649,0.88129,0.35971,0.07916,0.11693,0.06582,2.0889,Unknown
Haiti,102,4.518,0.10166,0.26673,0.74302,0.20411,0.17335,0.46187,0.16208,2.50879,Unknown
Liberia,103,3.819,0.07723,0.08727,0.93855,0.18415,0.17839,0.38226,0.25803,1.72896,Unknown
Tunisia,104,5.029,0.04993,0.93384,0.78335,0.62879,0.27399,0.19534,0.1064,2.10017,Unknown
Madagascar,105,3.681,0.05996,0.17461,0.96101,0.42197,0.07765,0.36147,0.11347,1.57026,Unknown
Burundi,106,2.905,0.08658,0.0153,0.41587,0.22396,0.14195,0.11587,0.10854,1.83302,Unknown
Central African Republic,107,3.678,0.06533,0.0,0.0,0.01803,0.18922,0.20308,0.05565,2.39926,Unknown
Sudan,108,3.961,0.08025,0.52107,0.8217,0.25834,0.10614,0.1346,0.076,2.035,Unknown
Togo,109,3.186,0.06468,0.20817,0.53501,0.2152,0.12898,0.22661,0.0998,1.7992,Unknown
Afghanistan,110,3.575,0.03084,0.31982,0.30285,0.30335,0.23414,0.09719,0.09327,2.17916,Unknown
Rwanda,111,3.465,0.03464,0.22208,0.7737,0.36923,0.59201,0.55191,0.55191,0.67042,Unknown
Benin,112,3.34,0.07614,0.28665,0.35386,0.3191,0.26673,0.16388,0.08188,1.63328,Unknown
Syria,113,3.006,0.07916,0.6632,0.47489,0.40676,0.04987,0.45197,0.0444,1.02585,Unknown
Malawi,114,3.667,0.07367,0.01604,0.63728,0.22531,0.07676,0.44362,0.15404,2.0817,Unknown
