Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity
66,Uganda,3.819,0.281,1.142,0.308,0.185,0.364,0.13
67,Mozambique,3.9,0.109,0.99,0.319,0.199,0.27,0.075
68,Tanzania,3.303,0.321,1.11,0.381,0.119,0.349,0.175
69,Senegal,4.681,0.391,1.072,0.483,0.29,0.198,0.09
70,Bangladesh,4.5,0.471,0.682,0.531,0.464,0.197,0.1
71,Cambodia,4.433,0.574,0.834,0.577,0.367,0.256,0.091
72,Zimbabwe,3.692,0.295,1.197,0.221,0.203,0.172,0.068
73,Myanmar,4.308,0.357,0.804,0.555,0.454,0.317,0.068
74,Liberia,3.975,0.114,0.983,0.268,0.236,0.303,0.097
75,Mali,4.19,0.287,0.803,0.376,0.244,0.268,0.108
76,Haiti,3.582,0.301,0.808,0.258,0.242,0.261,0.06
77,Zambia,3.759,0.578,1.081,0.314,0.222,0.289,0.136
78,Malawi,3.41,0.181,0.71,0.288,0.219,0.272,0.073
79,Niger,4.166,0.131,0.895,0.239,0.218,0.261,0.077
80,Chad,3.936,0.43,0.819,0.249,0.202,0.254,0.104
81,Yemen,3.355,0.564,0.802,0.344,0.18,0.221,0.059
82,South Sudan,3.254,0.397,0.603,0.163,0.147,0.118,0.112
83,Central African Republic,3.083,0.026,0.0,0.013,0.029,0.235,0.038
84,Rwanda,3.408,0.359,0.711,0.614,0.556,0.217,0.555
85,Burundi,2.905,0.06,0.428,0.269,0.212,0.09,0.109
86,Afghanistan,3.203,0.35,0.506,0.361,0.315,0.074,0.082
87,Togo,3.999,0.286,0.524,0.276,0.275,0.193,0.078
88,Syria,4.561,0.619,0.378,0.44,0.196,0.321,0.063
89,Benin,4.141,0.377,0.413,0.377,0.254,0.149,0.083
