Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
69,Ethiopia,4.286,0.338,1.07,0.535,0.329,0.288,0.209
70,Uganda,4.166,0.281,1.142,0.374,0.185,0.364,0.175
71,Cameroon,4.252,0.547,1.077,0.427,0.252,0.092,0.138
72,Mozambique,4.466,0.204,0.986,0.402,0.244,0.27,0.11
73,Myanmar,4.308,0.413,0.804,0.636,0.454,0.317,0.163
74,Cambodia,4.7,0.574,0.834,0.673,0.547,0.256,0.234
75,Zambia,4.107,0.578,1.081,0.43,0.222,0.289,0.122
76,Senegal,4.219,0.391,1.072,0.538,0.29,0.198,0.063
77,Malawi,3.41,0.181,0.71,0.39,0.219,0.176,0.142
78,Mali,3.748,0.287,0.803,0.388,0.228,0.152,0.117
79,Zimbabwe,3.663,0.295,1.197,0.347,0.203,0.195,0.08
80,Yemen,3.38,0.287,0.78,0.396,0.22,0.088,0.076
81,Syria,3.462,0.619,0.378,0.465,0.276,0.151,0.047
82,Liberia,3.975,0.114,0.983,0.372,0.236,0.231,0.119
83,Chad,3.936,0.43,0.819,0.322,0.154,0.212,0.08
84,Niger,3.822,0.131,0.895,0.334,0.218,0.261,0.167
85,Benin,4.141,0.377,0.413,0.412,0.234,0.134,0.09
86,Togo,3.999,0.286,0.524,0.349,0.235,0.181,0.079
87,Rwanda,3.334,0.359,0.711,0.614,0.556,0.217,0.555
88,Tanzania,3.231,0.321,1.11,0.452,0.237,0.343,0.203
89,Afghanistan,3.203,0.35,0.506,0.361,0.315,0.074,0.159
90,Central African Republic,3.083,0.026,0.0,0.105,0.225,0.235,0.038
91,South Sudan,2.853,0.306,0.575,0.295,0.168,0.112,0.176
